YEAR        IceMass    
 2002.29       0.00     178.90
2002.35      22.73     102.47
2002.62     -54.14      83.09
2002.71      45.96      97.19
2002.79      68.84      61.82
2002.87     -62.18      58.68
2002.96     -44.37      59.19
2003.04     -50.10      64.73
2003.12    -198.70      48.10
2003.20    -166.67      42.95
2003.29     -38.37      43.58
2003.36       4.04      48.24
2003.54    -121.34      37.86
2003.62    -116.16      39.87
2003.71    -124.89      39.61
2003.79     -41.89      40.19
2003.87    -101.01      40.89
2003.96    -266.07      39.82
2004.02    -326.65      43.72
2004.13    -484.77      40.46
2004.21    -332.09      37.97
2004.29    -379.37      37.56
2004.37    -150.18      38.36
2004.46    -182.27      37.47
2004.54    -306.96      34.08
2004.62    -161.41      35.44
2004.71    -157.01      36.20
2004.79     -79.90      33.33
2004.87    -222.16      36.02
2004.96    -300.86      35.33
2005.04    -386.69      33.76
2005.12    -449.12      35.22
2005.20    -400.06      34.97
2005.29    -245.87      34.30
2005.37    -224.47      35.04
2005.46    -200.50      35.16
2005.54    -154.37      33.88
2005.62    -204.02      34.19
2005.71    -107.31      33.91
2005.79    -100.51      33.17
2005.87     -53.93      33.08
2005.96    -158.86      38.45
2006.04    -219.45      34.46
2006.12    -312.54      35.03
2006.20    -177.62      35.19
2006.29    -152.59      35.23
2006.37     -74.61      35.51
2006.45     -45.09      37.90
2006.54     -94.59      37.37
2006.62      -4.39      36.14
2006.71     -16.92      37.96
2006.79     -91.26      37.00
2006.87     -83.49      36.85
2006.96    -229.14      37.92
2007.04    -433.26      38.38
2007.12    -423.94      37.94
2007.20    -355.26      37.66
2007.29    -330.57      37.77
2007.37    -173.83      37.57
2007.45    -186.07      38.38
2007.54    -263.14      37.52
2007.62    -226.67      39.45
2007.71    -153.12      39.17
2007.79    -241.82      39.51
2007.87    -433.98      40.82
2007.96    -516.54      39.77
2008.04    -723.77      39.43
2008.12    -602.58      41.45
2008.21    -734.83      40.25
2008.29    -557.66      42.17
2008.37    -468.49      40.75
2008.46    -551.82      40.38
2008.54    -646.37      40.84
2008.62    -597.99      40.15
2008.71    -437.56      40.44
2008.79    -527.74      39.48
2008.87    -515.65      40.89
2008.96    -619.85      40.43
2009.04    -701.19      39.60
2009.12    -675.54      39.72
2009.20    -612.72      39.33
2009.29    -573.90      36.58
2009.37    -547.87      35.97
2009.46    -535.39      35.73
2009.54    -434.33      36.75
2009.62    -464.44      34.71
2009.71    -477.16      33.67
2009.79    -532.58      33.92
2009.87    -518.39      33.46
2009.96    -627.92      33.43
2010.04    -798.00      33.03
2010.12    -803.82      32.76
2010.20    -685.53      34.51
2010.29    -754.48      32.20
2010.37    -776.73      32.63
2010.45    -792.97      38.44
2010.54    -992.78      35.63
2010.62    -919.45      34.62
2010.71    -841.56      36.40
2010.79    -873.57      38.44
2010.87    -893.29      39.59
2010.95    -906.28      40.67
2011.13    -998.11      43.16
2011.20   -1012.20      41.62
2011.29   -1023.37      41.22
2011.37    -957.14      40.16
2011.54    -906.26      42.75
2011.62    -921.44      40.50
2011.71    -832.74      39.71
2011.79    -878.24      38.98
2011.83    -873.48      39.28
2012.00   -1140.94      39.05
2012.04   -1070.21      37.63
2012.12   -1133.12      38.79
2012.21   -1110.50      37.12
2012.26   -1050.33      43.32
2012.46   -1087.24      39.99
2012.54   -1053.64      38.80
2012.62    -974.45      37.70
2012.70    -941.07      41.16
2012.88   -1063.30      41.62
2012.96   -1110.30      39.53
2013.04   -1279.21      38.98
2013.12   -1386.84      40.16
2013.30   -1128.08      41.36
2013.37   -1229.69      37.57
2013.46   -1238.44      38.44
2013.54   -1200.78      37.79
2013.79   -1292.62      38.01
2013.87   -1339.27      36.03
2013.96   -1391.14      35.45
2014.02   -1500.42      40.12
2014.20   -1606.59      32.35
2014.29   -1526.26      33.19
2014.37   -1432.31      33.14
2014.45   -1476.95      35.04
2014.62   -1525.56      33.51
2014.71   -1353.50      33.00
2014.79   -1441.29      31.99
2014.88   -1516.18      31.56
2015.06   -1820.40      35.31
2015.12   -1897.10      56.93
2015.20   -1861.66      30.75
2015.29   -1840.61      32.24
2015.32   -1768.43      34.83
2015.53   -1736.33      37.19
2015.62   -1886.90      34.62
2015.70   -1839.53      36.97
2015.98   -1883.57      36.86
2016.04   -1905.03      35.36
2016.12   -1980.89      34.10
2016.21   -1916.64      35.08
2016.38   -1780.31      37.40
2016.46   -1762.72      34.43
2016.54   -1644.92      34.27
2016.64   -1590.48      36.53
2016.91   -1662.31      61.29
2016.98   -1574.68      61.17
2017.06   -1593.98      60.59
2017.25   -1914.04      61.89
2017.31   -1836.56      61.26
2017.36   -1801.53      59.87
2017.44   -1799.04      59.78
2018.45   -1970.12      34.35
2018.52   -1985.73      31.43
2018.83   -2245.16      30.30
2018.87   -2209.43      28.20
2018.96   -2261.39      27.41
2019.04   -2352.12      27.15
2019.12   -2395.34      27.11
2019.20   -2299.27      26.87
2019.29   -2119.18      26.88
2019.37   -2172.76      26.79
2019.45   -2264.68      26.75
2019.54   -2169.00      26.79
2019.62   -2214.14      26.79
2019.71   -2088.68      26.85
2019.79   -2272.13      26.81
2019.87   -2332.82      26.74
